Factory,Value Stream,Stage/Product Line/SL,Component,Path,Create Date
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/,PLC,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/ARCHIVE/PLC/20210216.000,2021-02-16,1.549708
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/,PLC,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/ARCHIVE/PLC/20210304.000,2021-03-04,1.5059
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/,PLC,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/ARCHIVE/PLC/20210325.000,2021-03-25,1.448402
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/,PLC,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/ARCHIVE/PLC/20210615.000,2021-06-15,1.223886
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20190829.000,2019-08-29,3.020014
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20200305.000,2020-03-05,2.502532
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20200309.000,2020-03-09,2.49158
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20200309.001,2020-03-09,2.49158
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20200310.000,2020-03-10,2.488842
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20200604.000,2020-06-04,2.253374
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20200707.000,2020-07-07,2.16302
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20200718.000,2020-07-18,2.132902
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20200731.000,2020-07-31,2.097308
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20200801.000,2020-08-01,2.09457
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20200923.000,2020-09-23,1.949456
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20200924.000,2020-09-24,1.946718
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20201002.000,2020-10-02,1.924814
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20201009.000,2020-10-09,1.905648
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20201011.000,2020-10-11,1.900172
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20201017.000,2020-10-17,1.883744
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20201018.000,2020-10-18,1.881006
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20201111.000,2020-11-11,1.815294
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20201119.000,2020-11-19,1.79339
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20201201.000,2020-12-01,1.760534
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20201202.000,2020-12-02,1.757796
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20201204.000,2020-12-04,1.75232
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20201219.000,2020-12-19,1.71125
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210109.000,2021-01-09,1.6537519999999999
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210119.000,2021-01-19,1.626372
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210122.000,2021-01-22,1.618158
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210127.000,2021-01-27,1.604468
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210203.000,2021-02-03,1.585302
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210217.000,2021-02-17,1.54697
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210226.000,2021-02-26,1.522328
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210305.000,2021-03-05,1.5031619999999999
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210306.000,2021-03-06,1.500424
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210313.000,2021-03-13,1.481258
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210316.000,2021-03-16,1.473044
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210317.000,2021-03-17,1.470306
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210318.000,2021-03-18,1.467568
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210321.000,2021-03-21,1.459354
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210326.000,2021-03-26,1.445664
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210330.000,2021-03-30,1.434712
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210415.000,2021-04-15,1.390904
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210511.000,2021-05-11,1.319716
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210518.000,2021-05-18,1.30055
BaP,HDEV6,/10_Load/SL01/010/OPCON_000A620/OpconData/,CrossTable,D:/vdServerArchive/Ba/HDEV6/10_Load/SL01/010/OPCON_000A620/OpconData/ARCHIVE/CrossTable/20210520.000,2021-05-20,1.295074
